BioSample,Assembly ,variants,Assembly Level,Host Source,Country,Continent,Year,MLST
SAMN15813738,GCA_015245435.1,blaOXA-181,Contig,Human,Qatar,Asia,2015,410
SAMN15813762,GCA_018039065.1,blaOXA-48,Contig,Human,Qatar,Asia,2015,38
SAMN15813766,GCA_015245805.1,blaOXA-181,Contig,Human,Qatar,Asia,2016,1487
SAMN15813768,GCA_015245335.1,blaOXA-181,Contig,Human,Qatar,Asia,2016,410
SAMN15813772,GCA_015246355.1,blaOXA-181,Contig,Human,Qatar,Asia,2016,410
SAMN15813784,GCA_015245395.1,blaOXA-48,Contig,Human,Qatar,Asia,2016,23
SAMN15813796,GCA_015254715.1,blaOXA-48,Contig,Human,Qatar,Asia,2017,38
SAMN15813806,GCA_015254745.1,blaOXA-48,Contig,Human,Qatar,Asia,2017,405
SAMN15813809,GCA_015246165.1,blaOXA-48,Contig,Human,Qatar,Asia,2017,38
SAMN15813815,GCA_015244725.1,blaOXA-181,Contig,Human,Qatar,Asia,2017,410
SAMN15813816,GCA_015245475.1,blaOXA-181,Contig,Human,Qatar,Asia,2017,410
SAMN15813825,GCA_015245555.1,blaOXA-48,Contig,Human,Qatar,Asia,2017,58
SAMN15813826,GCA_015244805.1,blaOXA-181,Contig,Human,Qatar,Asia,2017,410
SAMN15813847,GCA_015246125.1,blaOXA-181,Contig,Human,Qatar,Asia,2017,410
SAMN15813851,GCA_018038985.1,blaOXA-244,Contig,Human,Qatar,Asia,2017,648
SAMN15813857,GCA_015245945.1,blaOXA-48,Contig,Human,Qatar,Asia,2017,38
SAMN15813859,GCA_015245625.1,blaOXA-181,Contig,Human,Qatar,Asia,2017,8346
SAMN15813870,GCA_018039025.1,blaOXA-181,Contig,Human,Qatar,Asia,2017,38
SAMN15868356,GCA_015042415.1,blaOXA-232,Contig,Human,USA,North America,2016,167
SAMN15868377,GCA_018043145.1,blaOXA-48,Contig,Human,USA,North America,2017,38
SAMN15868689,GCA_018042865.1,blaOXA-48,Contig,Human,USA,North America,2016,648
SAMN15888712,GCA_021907145.1,blaOXA-181,Contig,Human,India,Asia,2018,410
SAMN15888717,GCA_021908815.1,blaOXA-181,Contig,Human,India,Asia,2018,448
SAMN15888724,GCA_021903035.1,blaOXA-181,Contig,Human,India,Asia,2018,448
SAMN15904683,GCA_015290285.1,blaOXA-232,Contig,Human,China,Asia,2017,2599
SAMN15904692,GCA_015290825.1,blaOXA-181,Contig,Human,China,Asia,2017,205
SAMN15904706,GCA_015289945.1,blaOXA-181,Contig,Human,China,Asia,2017,410
SAMN15904733,GCA_015290765.1,blaOXA-181,Contig,Human,China,Asia,2016,46
SAMN15907123,GCA_018071945.2,blaOXA-181,Complete Genome,Human,USA,North America,2020,11325
SAMN15945289,GCA_016432805.1,blaOXA-181,Complete Genome,Human,Ghana,Africa,2018,410
SAMN15945290,GCA_016432785.1,blaOXA-181,Complete Genome,Human,Ghana,Africa,2018,940
SAMN16125011,GCA_015356445.1,blaOXA-48,Contig,Environment,Unknown,Unknown,2019,354
SAMN16125012,GCA_015356415.1,blaOXA-48,Contig,Environment,Unknown,Unknown,2019,354
SAMN16278732,GCA_014862455.1,blaOXA-244,Scaffold,Human,France,Europe,2016,167
SAMN16278733,GCA_014862385.1,blaOXA-244,Scaffold,Human,France,Europe,2016,617
SAMN16278734,GCA_014862405.1,blaOXA-244,Scaffold,Human,France,Europe,2016,361
SAMN16278735,GCA_014862355.1,blaOXA-244,Scaffold,Human,France,Europe,2016,648
SAMN16278736,GCA_014862395.1,blaOXA-244,Scaffold,Human,France,Europe,2016,38
SAMN16278737,GCA_014862345.1,blaOXA-244,Scaffold,Human,France,Europe,2016,69
SAMN16278738,GCA_014862325.1,blaOXA-244,Scaffold,Human,France,Europe,2016,361
SAMN16278739,GCA_014862275.1,blaOXA-244,Scaffold,Human,France,Europe,2016,361
SAMN16278740,GCA_014862265.1,blaOXA-244,Scaffold,Human,France,Europe,2016,38
SAMN16278741,GCA_014862245.1,blaOXA-244,Scaffold,Human,France,Europe,2016,Unknown
SAMN16278742,GCA_014862255.1,blaOXA-244,Scaffold,Human,France,Europe,2016,361
SAMN16278743,GCA_014862225.1,blaOXA-244,Scaffold,Human,France,Europe,2017,361
SAMN16278744,GCA_014862205.1,blaOXA-244,Scaffold,Human,France,Europe,2017,361
SAMN16278745,GCA_014862145.1,blaOXA-244,Scaffold,Human,France,Europe,2017,361
SAMN16278746,GCA_014862165.1,blaOXA-244,Scaffold,Human,France,Europe,2017,361
SAMN16278747,GCA_014862155.1,blaOXA-244,Scaffold,Human,France,Europe,2017,38
SAMN16278748,GCA_014862095.1,blaOXA-244,Scaffold,Human,France,Europe,2017,38
SAMN16278749,GCA_014862085.1,blaOXA-244,Scaffold,Human,France,Europe,2017,361
SAMN16278750,GCA_014862125.1,blaOXA-244,Scaffold,Human,France,Europe,2017,361
SAMN16278751,GCA_014862065.1,blaOXA-244,Scaffold,Human,France,Europe,2017,38
SAMN16278752,GCA_014862015.1,blaOXA-244,Scaffold,Human,France,Europe,2017,361
SAMN16278753,GCA_014862045.1,blaOXA-244,Scaffold,Human,France,Europe,2017,69
SAMN16278754,GCA_014862005.1,blaOXA-244,Scaffold,Human,France,Europe,2017,38
SAMN16278755,GCA_014861985.1,blaOXA-244,Scaffold,Human,France,Europe,2017,38
SAMN16278756,GCA_014861955.1,blaOXA-244,Scaffold,Human,France,Europe,2017,167
SAMN16278757,GCA_014861945.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16278758,GCA_014861925.1,blaOXA-244,Scaffold,Human,France,Europe,2018,361
SAMN16278759,GCA_014861885.1,blaOXA-244,Scaffold,Human,France,Europe,2018,69
SAMN16278760,GCA_014861335.1,blaOXA-244,Scaffold,Human,France,Europe,2018,361
SAMN16278761,GCA_014861325.1,blaOXA-244,Scaffold,Human,France,Europe,2018,167
SAMN16278763,GCA_014861295.1,blaOXA-244,Scaffold,Human,France,Europe,2018,167
SAMN16278764,GCA_014861265.1,blaOXA-244,Scaffold,Human,France,Europe,2018,361
SAMN16278767,GCA_014861195.1,blaOXA-244,Scaffold,Human,France,Europe,2018,69
SAMN16278769,GCA_014861185.1,blaOXA-244,Scaffold,Human,France,Europe,2018,69
SAMN16278770,GCA_014861165.1,blaOXA-244,Scaffold,Human,France,Europe,2018,3541
SAMN16278771,GCA_014861145.1,blaOXA-244,Scaffold,Human,France,Europe,2018,3541
SAMN16278772,GCA_014861095.1,blaOXA-244,Scaffold,Human,France,Europe,2018,10
SAMN16278773,GCA_014861105.1,blaOXA-244,Scaffold,Human,France,Europe,2018,167
SAMN16278774,GCA_014861085.1,blaOXA-244,Scaffold,Human,France,Europe,2018,1722
SAMN16278775,GCA_014861045.1,blaOXA-244,Scaffold,Human,France,Europe,2018,131
SAMN16278777,GCA_014861005.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16278778,GCA_014860995.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16278779,GCA_014860985.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16278780,GCA_014860935.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16278781,GCA_014860965.1,blaOXA-244,Scaffold,Human,France,Europe,2018,648
SAMN16279597,GCA_014863345.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16279598,GCA_014863365.1,blaOXA-244,Scaffold,Human,France,Europe,2018,69
SAMN16279599,GCA_014863305.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16279600,GCA_014863265.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16279602,GCA_014863255.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16279603,GCA_014863245.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16279604,GCA_014863205.1,blaOXA-244,Scaffold,Human,France,Europe,2018,10
SAMN16279605,GCA_014863215.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16279606,GCA_014863185.1,blaOXA-244,Scaffold,Human,France,Europe,2018,38
SAMN16279607,GCA_014863105.1,blaOXA-244,Scaffold,Human,France,Europe,2018,10
SAMN16279608,GCA_014863165.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279609,GCA_014863115.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279610,GCA_014863145.1,blaOXA-244,Scaffold,Human,France,Europe,2019,69
SAMN16279611,GCA_014863085.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279612,GCA_014863035.1,blaOXA-244,Scaffold,Human,France,Europe,2019,69
SAMN16279613,GCA_014863005.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279614,GCA_014863025.1,blaOXA-244,Scaffold,Human,France,Europe,2019,69
SAMN16279615,GCA_014863015.1,blaOXA-244,Scaffold,Human,France,Europe,2019,10
SAMN16279616,GCA_014862905.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279617,GCA_014862915.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279618,GCA_014862965.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279619,GCA_014862955.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279620,GCA_014862945.1,blaOXA-244,Scaffold,Human,France,Europe,2019,131
SAMN16279621,GCA_014862865.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279622,GCA_014862835.1,blaOXA-244,Scaffold,Human,France,Europe,2019,167
SAMN16279623,GCA_014862825.1,blaOXA-244,Scaffold,Human,France,Europe,2019,361
SAMN16279624,GCA_014862815.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279625,GCA_014862785.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279626,GCA_014862805.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279627,GCA_014862715.1,blaOXA-244,Scaffold,Human,France,Europe,2019,1193
SAMN16279628,GCA_014862765.1,blaOXA-244,Scaffold,Human,France,Europe,2019,1722
SAMN16279629,GCA_014862685.1,blaOXA-181,Scaffold,Human,France,Europe,2019,167
SAMN16279630,GCA_014862705.1,blaOXA-244,Scaffold,Human,France,Europe,2019,69
SAMN16279631,GCA_014862695.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279632,GCA_014862645.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279633,GCA_015206795.1,blaOXA-244,Scaffold,Human,France,Europe,2019,10
SAMN16279634,GCA_014862665.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279635,GCA_014862615.1,blaOXA-244,Scaffold,Human,France,Europe,2019,361
SAMN16279636,GCA_014862545.1,blaOXA-244,Scaffold,Human,France,Europe,2019,10
SAMN16279638,GCA_014862595.1,blaOXA-244,Scaffold,Human,France,Europe,2019,167
SAMN16279639,GCA_014862585.1,blaOXA-244,Scaffold,Human,France,Europe,2019,10
SAMN16279640,GCA_014862465.1,blaOXA-244,Scaffold,Human,France,Europe,2019,69
SAMN16279641,GCA_014862515.1,blaOXA-244,Scaffold,Human,France,Europe,2019,38
SAMN16279642,GCA_014862505.1,blaOXA-244,Scaffold,Human,France,Europe,2019,10
SAMN16361943,GCA_017135515.1,blaOXA-181,Contig,Human,Qatar,Asia,2018,10
SAMN16361944,GCA_017135495.1,blaOXA-244,Contig,Human,Qatar,Asia,2018,38
SAMN16361945,GCA_017135115.1,blaOXA-244,Contig,Human,Qatar,Asia,2018,38
SAMN16361953,GCA_017134435.1,blaOXA-181,Contig,Human,Qatar,Asia,2019,450
SAMN16361957,GCA_017134495.1,blaOXA-181,Contig,Human,Qatar,Asia,2019,58
SAMN16361960,GCA_017134855.1,blaOXA-181,Contig,Human,Qatar,Asia,2019,156
SAMN16361962,GCA_017134915.1,blaOXA-244,Contig,Human,Qatar,Asia,2019,361
SAMN16361964,GCA_018024375.1,blaOXA-181,Contig,Human,Qatar,Asia,2019,354
SAMN16361973,GCA_017134935.1,blaOXA-181,Contig,Human,Qatar,Asia,2019,410
SAMN16361977,GCA_017135095.1,blaOXA-181,Contig,Human,Qatar,Asia,2019,1421
SAMN16361980,GCA_017135175.1,blaOXA-181,Contig,Human,Qatar,Asia,2019,410
SAMN16364082,GCA_015123715.1,blaOXA-162,Contig,Unknown,United Kingdom,Europe,2020,4980
SAMN16364111,GCA_015134015.1,blaOXA-162,Contig,Unknown,United Kingdom,Europe,2020,4980
SAMN16521172,GCA_021035645.1,blaOXA-244,Contig,Human,Germany,Europe,2019,131
SAMN16521173,GCA_021035665.1,blaOXA-244,Contig,Human,Germany,Europe,2020,131
SAMN16521174,GCA_021035685.1,blaOXA-244,Contig,Human,Germany,Europe,2019,131
SAMN16521175,GCA_021035695.1,blaOXA-244,Contig,Human,Germany,Europe,2019,38
SAMN16521176,GCA_021035625.1,blaOXA-244,Contig,Human,Germany,Europe,2019,38
SAMN16521177,GCA_021035555.1,blaOXA-244,Contig,Human,Germany,Europe,2020,38
SAMN16521178,GCA_021035575.1,blaOXA-244,Contig,Human,Germany,Europe,2020,38
SAMN16521179,GCA_021035565.1,blaOXA-244,Contig,Human,Germany,Europe,2019,38
SAMN16521180,GCA_021035545.1,blaOXA-244,Contig,Human,Germany,Europe,2020,167
SAMN16552510,GCA_015000705.1,blaOXA-181,Contig,Human,USA,North America,2020,1670
SAMN16552551,GCA_015000905.2,blaOXA-181,Contig,Human,USA,North America,2020,410
SAMN16561275,GCA_017310445.1,blaOXA-48,Complete Genome,Human,China,Asia,2015,648
SAMN16561278,GCA_017312065.1,blaOXA-48,Scaffold,Human,China,Asia,2016,648
SAMN16561279,GCA_017312035.1,blaOXA-48,Contig,Human,China,Asia,2017,156
SAMN16801863,GCA_015643595.1,blaOXA-181,Scaffold,Human,South Korea,Asia,2017,410
SAMN16842688,GCA_015622265.2,blaOXA-244,Contig,Human,USA,North America,2019,69
SAMN16842839,GCA_015621765.1,blaOXA-181,Contig,Human,USA,North America,2019,410
SAMN16939733,GCA_015888085.2,blaOXA-181,Contig,Human,USA,North America,2018,38
SAMN16940076,GCA_015888025.2,blaOXA-48,Contig,Human,USA,North America,2019,405
SAMN16940566,GCA_015886995.1,blaOXA-232,Contig,Human,USA,North America,2019,405
SAMN16954075,GCA_022130305.1,blaOXA-244,Contig,Environment,Norway,Europe,2020,38
SAMN16980961,GCA_015864145.2,blaOXA-48,Contig,Human,USA,North America,2016,28
SAMN16990724,GCA_015822425.2,blaOXA-48,Contig,Human,USA,North America,2019,354
SAMN17019571,GCA_015909945.2,blaOXA-181,Contig,Human,USA,North America,2020,648
SAMN17019574,GCA_015909825.2,blaOXA-48,Contig,Human,USA,North America,2020,11672
SAMN17190511,GCA_032997525.1,blaOXA-181,Contig,Human,USA,North America,2020,410
SAMN17190513,GCA_032866075.1,blaOXA-181,Contig,Human,USA,North America,2020,410
SAMN17190518,GCA_032865985.1,blaOXA-181,Contig,Human,USA,North America,2020,410
SAMN17190531,GCA_032865935.1,blaOXA-48,Contig,Human,USA,North America,2020,11672
SAMN17199842,GCA_018456815.1,blaOXA-181,Contig,Food,India,Asia,2016,410
SAMN17199843,GCA_018456805.1,blaOXA-181,Contig,Animal,India,Asia,2016,410
SAMN17199846,GCA_018456745.1,blaOXA-181,Contig,Food,India,Asia,2017,410
SAMN17199857,GCA_018456505.1,blaOXA-181,Contig,Animal,India,Asia,2018,410
SAMN17214836,GCA_017639165.1,blaOXA-48,Complete Genome,Environment,Switzerland,Europe,2016,215
SAMN17214840,GCA_017654585.1,blaOXA-48,Chromosome,Environment,Switzerland,Europe,2015,215
SAMN17214841,GCA_017639105.1,blaOXA-48,Complete Genome,Environment,Switzerland,Europe,2015,215
SAMN17243075,GCA_016572605.2,blaOXA-181,Contig,Human,USA,North America,2020,410
SAMN17243076,GCA_016572735.2,blaOXA-181,Contig,Human,USA,North America,2020,410
SAMN17248682,GCA_016651415.1,blaOXA-244,Contig,Human,France,Europe,2016,361
SAMN17248683,GCA_016651395.1,blaOXA-244,Contig,Human,France,Europe,2016,38
SAMN17248684,GCA_016651425.1,blaOXA-244,Contig,Human,France,Europe,2017,69
SAMN17315802,GCA_016809855.1,blaOXA-48,Scaffold,Human,Qatar,Asia,2016,38
SAMN17319964,GCA_016809995.1,blaOXA-244,Scaffold,Human,Qatar,Asia,2019,38
SAMN17320328,GCA_016810035.1,blaOXA-244,Scaffold,Human,Qatar,Asia,2019,38
SAMN17320627,GCA_016810015.1,blaOXA-181,Scaffold,Human,Qatar,Asia,2019,95
SAMN17320630,GCA_016810055.1,blaOXA-244,Scaffold,Human,Qatar,Asia,2019,131
SAMN17320631,GCA_016810075.1,blaOXA-244,Scaffold,Human,Qatar,Asia,2019,38
SAMN17320633,GCA_016810095.1,blaOXA-48,Contig,Human,Qatar,Asia,2019,227
SAMN17320762,GCA_016810135.1,blaOXA-244,Contig,Human,Qatar,Asia,2019,2346
SAMN17320763,GCA_016810155.1,blaOXA-244,Scaffold,Human,Qatar,Asia,2019,10
SAMN17320764,GCA_016810175.1,blaOXA-244,Scaffold,Human,Qatar,Asia,2019,38
SAMN17371809,GCA_018439635.1,blaOXA-48,Scaffold,Human,Germany,Europe,2017,38
SAMN17371820,GCA_018439435.1,blaOXA-48,Scaffold,Human,Germany,Europe,2017,354
SAMN17371860,GCA_018438675.1,blaOXA-181,Contig,Human,Germany,Europe,2017,354
SAMN17371872,GCA_018438465.1,blaOXA-48,Scaffold,Human,Germany,Europe,2017,448
SAMN17371887,GCA_018446075.1,blaOXA-48,Scaffold,Human,Germany,Europe,2018,38
SAMN17371894,GCA_018445885.1,blaOXA-48,Scaffold,Human,Germany,Europe,2019,38
SAMN17371955,GCA_018444685.1,blaOXA-181,Scaffold,Human,Germany,Europe,2018,167
SAMN17371957,GCA_018444645.1,blaOXA-181,Scaffold,Human,Germany,Europe,2018,167
SAMN17371966,GCA_018444375.1,blaOXA-244,Scaffold,Human,Germany,Europe,2017,1722
SAMN17371980,GCA_018444005.1,blaOXA-48,Scaffold,Human,Germany,Europe,2017,354
SAMN17371998,GCA_018443415.1,blaOXA-48,Scaffold,Human,Germany,Europe,2016,38
SAMN17372030,GCA_018442715.1,blaOXA-244,Scaffold,Human,Germany,Europe,2018,10
SAMN17372040,GCA_018442405.1,blaOXA-244,Scaffold,Human,Germany,Europe,2018,131
SAMN17372044,GCA_018442345.1,blaOXA-48,Scaffold,Human,Germany,Europe,2018,38
SAMN17372125,GCA_018447015.1,blaOXA-48,Scaffold,Human,Germany,Europe,2019,104
SAMN17372135,GCA_018446815.1,blaOXA-48,Scaffold,Human,Germany,Europe,2019,227
SAMN17372144,GCA_018446735.1,blaOXA-181,Scaffold,Human,Germany,Europe,2019,2851
SAMN17372986,GCA_018423295.1,blaOXA-181,Scaffold,Human,Germany,Europe,2019,3268
SAMN17372998,GCA_018423055.1,blaOXA-48,Scaffold,Human,Germany,Europe,2019,38
SAMN17373016,GCA_018422675.1,blaOXA-48,Scaffold,Human,Germany,Europe,2019,38
SAMN17373018,GCA_018446275.1,blaOXA-48,Scaffold,Human,Germany,Europe,2019,349
SAMN17373022,GCA_018422555.1,blaOXA-204,Scaffold,Human,Germany,Europe,2019,Unknown
SAMN17373030,GCA_018422495.1,blaOXA-181,Scaffold,Human,Germany,Europe,2019,58
SAMN17373039,GCA_018422285.1,blaOXA-48,Scaffold,Human,Germany,Europe,2019,648
SAMN17373054,GCA_018421985.1,blaOXA-181,Scaffold,Human,Germany,Europe,2019,3268
SAMN17373055,GCA_018421945.1,blaOXA-181,Scaffold,Human,Germany,Europe,2019,3268
SAMN17373056,GCA_018421975.1,blaOXA-244,Scaffold,Human,Germany,Europe,2019,69
SAMN17373062,GCA_018421775.1,blaOXA-244,Scaffold,Human,Germany,Europe,2019,Unknown
SAMN17373077,GCA_018421525.1,blaOXA-244,Scaffold,Human,Germany,Europe,2019,38
SAMN17373089,GCA_018421245.1,blaOXA-48,Scaffold,Human,Germany,Europe,2019,127
SAMN17373090,GCA_018421215.1,blaOXA-48,Scaffold,Human,Germany,Europe,2019,127
SAMN17373114,GCA_018420775.1,blaOXA-48,Scaffold,Human,Germany,Europe,2019,410
SAMN17373121,GCA_018420635.1,blaOXA-48,Scaffold,Human,Germany,Europe,2019,38
SAMN17373164,GCA_016780285.1,blaOXA-244,Complete Genome,Human,Netherlands,Europe,2016,361
SAMN17373165,GCA_016780415.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2016,38
SAMN17373172,GCA_016776305.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,127
SAMN17373173,GCA_016776065.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373174,GCA_016801475.1,blaOXA-244,Chromosome,Human,Netherlands,Europe,2019,99
SAMN17373176,GCA_016776385.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373177,GCA_016776365.1,blaOXA-244,Complete Genome,Human,Netherlands,Europe,2019,349
SAMN17373178,GCA_016776345.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,940
SAMN17373180,GCA_016776045.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373181,GCA_016775845.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373182,GCA_016776265.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,69
SAMN17373183,GCA_016776325.1,blaOXA-244,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373184,GCA_016779865.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373185,GCA_016776125.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,127
SAMN17373186,GCA_016776245.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373187,GCA_016776145.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373188,GCA_016775945.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373189,GCA_016776165.1,blaOXA-244,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373190,GCA_016776085.1,blaOXA-244,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373191,GCA_016776285.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,127
SAMN17373192,GCA_016776225.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,127
SAMN17373193,GCA_016776185.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,127
SAMN17373194,GCA_016776205.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373195,GCA_016776105.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373196,GCA_016775965.1,blaOXA-244,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373197,GCA_016775825.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373198,GCA_016775925.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,127
SAMN17373199,GCA_016776005.1,blaOXA-244,Complete Genome,Human,Netherlands,Europe,2019,1722
SAMN17373200,GCA_016776025.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373201,GCA_016775805.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,69
SAMN17373202,GCA_016775865.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373203,GCA_016775985.1,blaOXA-244,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17373204,GCA_016775905.1,blaOXA-244,Complete Genome,Human,Netherlands,Europe,2019,69
SAMN17373205,GCA_016775885.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17497583,GCA_016780575.1,blaOXA-48,Complete Genome,Human,Netherlands,Europe,2019,38
SAMN17587897,GCA_016925095.1,blaOXA-162,Complete Genome,Animal,Romania,Europe,2016,155
SAMN17587898,GCA_016925075.1,blaOXA-162,Complete Genome,Animal,Romania,Europe,2016,10
SAMN17587899,GCA_016925115.1,blaOXA-162,Complete Genome,Animal,Romania,Europe,2016,4980
SAMN17767345,GCA_017143255.2,blaOXA-181,Contig,Human,USA,North America,2020,410
SAMN17767350,GCA_017143575.2,blaOXA-181,Contig,Human,USA,North America,2020,410
SAMN17866094,GCA_019895155.1,blaOXA-181,Contig,Human,Benin,Africa,2019,410
SAMN17866095,GCA_019895715.1,blaOXA-181,Contig,Human,Benin,Africa,2019,410
SAMN18062621,GCA_023612455.1,blaOXA-48,Complete Genome,Clinical environment,Switzerland,Europe,2019,2538
SAMN18062623,GCA_023612415.1,blaOXA-48,Complete Genome,Clinical environment,Switzerland,Europe,2019,297
SAMN18120936,GCA_025405355.1,blaOXA-181,Contig,Human,Lebanon,Asia,2018,540
SAMN18120946,GCA_025405315.1,blaOXA-181,Contig,Human,Lebanon,Asia,2018,940
SAMN18120967,GCA_025405095.1,blaOXA-244,Contig,Human,Lebanon,Asia,2018,1722
SAMN18120973,GCA_025404115.1,blaOXA-181,Contig,Human,Lebanon,Asia,2018,940
SAMN18121005,GCA_025404515.1,blaOXA-181,Contig,Human,Lebanon,Asia,2018,940
SAMN18121012,GCA_025404395.1,blaOXA-181,Contig,Human,Lebanon,Asia,2018,46
SAMN18191062,GCA_024672345.1,blaOXA-232,Contig,Animal,Thailand,Asia,2019,2973
SAMN18311226,GCA_017584385.1,blaOXA-48,Contig,Human,Germany,Europe,2015,354
SAMN18311231,GCA_017584295.1,blaOXA-181,Contig,Human,Germany,Europe,2018,3268
SAMN18311234,GCA_017584325.1,blaOXA-244,Contig,Human,Germany,Europe,2020,38
SAMN18397174,GCA_019038285.1,blaOXA-48,Contig,Clinical environment,China,Asia,2019,205
SAMN18475704,GCA_017743075.1,blaOXA-48,Complete Genome,Human,Germany,Europe,2013,448
SAMN18607562,GCA_017896545.1,blaOXA-181,Contig,Human,India,Asia,2019,405
SAMN18630606,GCA_018361365.1,blaOXA-181,Complete Genome,Human,Brazil,South America,2017,167
SAMN18685710,GCA_017906335.3,blaOXA-181,Contig,Human,USA,North America,2021,12065
SAMN18697787,GCA_025183165.1,blaOXA-48,Contig,Human,Sweden,Europe,2015,453
SAMN18697795,GCA_025182975.1,blaOXA-48,Scaffold,Human,Sweden,Europe,2015,453
SAMN18805773,GCA_018118125.1,blaOXA-244,Contig,Human,Qatar,Asia,2020,167
SAMN18805774,GCA_018118025.1,blaOXA-181,Contig,Human,Qatar,Asia,2020,410
SAMN18805781,GCA_018117945.1,blaOXA-244,Contig,Human,Qatar,Asia,2020,410
SAMN18805782,GCA_018117965.1,blaOXA-181,Contig,Human,Qatar,Asia,2020,69
SAMN18805783,GCA_018118105.1,blaOXA-244,Contig,Human,Qatar,Asia,2020,38
SAMN18805785,GCA_018118065.1,blaOXA-244,Contig,Human,Qatar,Asia,2020,Unknown
SAMN18811159,GCA_018111385.1,blaOXA-181,Contig,Unknown,USA,North America,Unknown,410
SAMN18819207,GCA_018118175.1,blaOXA-244,Contig,Human,Qatar,Asia,2020,38
SAMN18819208,GCA_018118165.1,blaOXA-181,Contig,Human,Qatar,Asia,2020,10
SAMN18872766,GCA_021430565.1,blaOXA-48,Contig,Human,Canada,North America,2017,38
SAMN18872767,GCA_021431765.1,blaOXA-48,Contig,Human,Canada,North America,2017,38
SAMN19022480,GCA_018287915.2,blaOXA-48,Contig,Human,USA,North America,2021,648
SAMN19036486,GCA_024399055.1,blaOXA-48,Complete Genome,Environment,Switzerland,Europe,2020,58
SAMN19349416,GCA_018771545.1,blaOXA-181,Complete Genome,Human,Germany,Europe,2018,167
SAMN19349419,GCA_018771465.1,blaOXA-181,Complete Genome,Human,Germany,Europe,2019,2851
